ev_id,m1_truth_full_A0,m1_match_pct_A0,m1_hit_A0,m1_recall5_A0,mrr_m1_A0,m1_truth_full_A2,m1_match_pct_A2,m1_hit_A2,m1_recall5_A2,mrr_m1_A2
20090921X73211,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Fatigue/wear/corrosion - C | Aircraft-Aircraft systems-Landing gear system-Main gear strut/axle/truck-Failure - C,81.5956,1,1,1.0,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Fatigue/wear/corrosion - C | Aircraft-Aircraft systems-Landing gear system-Main gear strut/axle/truck-Failure - C,81.5309,1,1,1.0
20090925X65328,Personnel issues-Physical-Impairment/incapacitation-(general)-Cabin crew - C,52.8567,0,0,0.0,Personnel issues-Physical-Impairment/incapacitation-(general)-Cabin crew - C,52.8567,0,0,0.0
20091029X02444,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Effect on personnel - C,94.351,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Effect on personnel - C,94.351,1,1,1.0
20091214X41802,Personnel issues-Action/decision-Action-Incorrect action selection-Pilot - C,48.4848,0,1,0.2,Personnel issues-Action/decision-Action-Incorrect action selection-Pilot - C,48.4926,0,1,0.2
20100114X11754,Aircraft-Aircraft power plant-Engine fuel and control-Fuel distribution-Failure - C,42.217,0,1,0.5,Aircraft-Aircraft power plant-Engine fuel and control-Fuel distribution-Failure - C,42.217,0,1,0.5
20100216X20235,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Pitch control-Incorrect use/operation - C | Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C,57.5274,0,0,0.0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Pitch control-Incorrect use/operation - C | Personnel issues-Task performance-Use of equip/info-Aircraft control-Pilot - C,57.5274,0,0,0.0
20100222X84927,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,93.3126,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,93.2347,1,1,1.0
20100312X84023,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Not specified - C,79.8224,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Not specified - C,79.8224,1,1,1.0
20100701X93344,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on operation - C,84.9872,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on operation - C,84.9872,1,1,1.0
20100714X63624,Environmental issues-Operating environment-Airport facilities/design-(general)-Effect on equipment - C,46.0583,0,0,0.0,Environmental issues-Operating environment-Airport facilities/design-(general)-Effect on equipment - C,46.0583,0,0,0.0
20100719X80209,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,93.3062,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,93.2347,1,1,1.0
20100827X20401,Personnel issues-Task performance-Use of equip/info-Use of policy/procedure-Copilot - C | Personnel issues-Action/decision-Action-Incorrect action selection-Copilot - C,88.7652,1,1,1.0,Personnel issues-Task performance-Use of equip/info-Use of policy/procedure-Copilot - C | Personnel issues-Action/decision-Action-Incorrect action selection-Copilot - C,88.7652,1,1,1.0
20100930X00358,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Malfunction - C,44.1517,0,0,0.0,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Malfunction - C,44.1517,0,0,0.0
20101103X34855,Personnel issues-Physical-(general)-(general)-Ground crew - C,86.8188,1,1,1.0,Personnel issues-Physical-(general)-(general)-Ground crew - C,86.8051,1,1,1.0
20101103X44221,Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Maintenance personnel - C,66.0546,0,0,0.0,Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Maintenance personnel - C,66.0546,0,0,0.0
20110209X55126,Aircraft-Aircraft power plant-Engine fuel and control-Fuel control electronic-Malfunction - C,49.7168,0,0,0.0,Aircraft-Aircraft power plant-Engine fuel and control-Fuel control electronic-Malfunction - C,49.7168,0,0,0.0
20110219X32035,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Effect on personnel - C,94.351,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Effect on personnel - C,94.351,1,1,1.0
20110328X80923,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Effect on personnel - C,94.351,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Effect on personnel - C,94.351,1,1,1.0
20110417X11718,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Contributed to outcome - C,76.103,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Contributed to outcome - C,76.103,1,1,1.0
20110628X11855,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,96.6345,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,96.6394,1,1,1.0
20111018X03714,Aircraft-Aircraft handling/service-Towing and taxiing-Towing-Not specified - C | Personnel issues-Psychological-Attention/monitoring-Task monitoring/vigilance-Ground crew - C,72.8483,0,1,0.333333,Aircraft-Aircraft handling/service-Towing and taxiing-Towing-Not specified - C | Personnel issues-Psychological-Attention/monitoring-Task monitoring/vigilance-Ground crew - C,72.8456,0,1,0.333333
20111024X74546,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Turbine section-Failure - C | Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Turbine section-Fatigue/wear/corrosion - C,93.3899,1,1,1.0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Turbine section-Failure - C | Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Turbine section-Fatigue/wear/corrosion - C,93.3899,1,1,1.0
20111208X41332,Environmental issues-Conditions/weather/phenomena-Turbulence-Terrain induced turbulence-Effect on equipment - C,85.6506,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Terrain induced turbulence-Effect on equipment - C,85.6506,1,1,1.0
20120118X91324,Environmental issues-Operating environment-Communication system-Visual communication-Contributed to outcome - C | Personnel issues-Action/decision-Action-Incorrect action performance-Ground crew - C,55.381,0,1,0.333333,Environmental issues-Operating environment-Communication system-Visual communication-Contributed to outcome - C | Personnel issues-Action/decision-Action-Incorrect action performance-Ground crew - C,55.3813,0,1,0.333333
20120224X25922,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C,95.1783,1,1,1.0,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C,95.1744,1,1,1.0
20120302X00956,Personnel issues-Miscellaneous-(general)-(general)-Passenger - C | Personnel issues-Task performance-(general)-(general)-Cabin crew - C,53.8351,0,0,0.0,Personnel issues-Miscellaneous-(general)-(general)-Passenger - C | Personnel issues-Task performance-(general)-(general)-Cabin crew - C,53.8351,0,0,0.0
20120312X10202,Aircraft-Aircraft systems-Landing gear system-Nose/tail landing gear-Failure - C,94.6567,1,1,1.0,Aircraft-Aircraft systems-Landing gear system-Nose/tail landing gear-Failure - C,94.6567,1,1,1.0
20120511X73555,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,96.6394,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,96.6394,1,1,1.0
20120621X34639,main system-Damaged/degraded - C | main system-Capability exceeded - C,27.4948,0,0,0.0,main system-Damaged/degraded - C | main system-Capability exceeded - C,27.5068,0,0,0.0
20120802X03552,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on operation - C,58.5624,0,1,0.5,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on operation - C,87.1432,1,1,1.0
20121005X05550,Environmental issues-Physical environment-Object/animal/substance-Ground vehicle-Effect on equipment - C,58.9625,0,0,0.0,Environmental issues-Physical environment-Object/animal/substance-Ground vehicle-Effect on equipment - C,58.9625,0,0,0.0
20130220X85257,Aircraft-Aircraft handling/service-Loading-(general)-Incorrect use/operation - C,41.6168,0,0,0.0,Aircraft-Aircraft handling/service-Loading-(general)-Incorrect use/operation - C,41.6168,0,0,0.0
20130314X15433,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C,95.1744,1,1,1.0,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C,95.1744,1,1,1.0
20130712X61436,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,96.6394,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,96.6394,1,1,1.0
20131220X70905,Aircraft-Aircraft systems-Equipment/furnishings-Cargo compartments-Incorrect use/operation - C,43.9218,0,0,0.0,Aircraft-Aircraft systems-Equipment/furnishings-Cargo compartments-Incorrect use/operation - C,43.9218,0,0,0.0
20131224X22946,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C,95.1744,1,1,1.0,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C,95.1744,1,1,1.0
20140109X32656,Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C,51.5754,0,1,0.25,Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C,51.5754,0,1,0.25
20140320X53321,Environmental issues-Physical environment-Object/animal/substance-Person-Effect on personnel - C,65.8538,0,0,0.0,Environmental issues-Physical environment-Object/animal/substance-Person-Effect on personnel - C,65.8538,0,0,0.0
20140603X95748,Aircraft-Aircraft structures-Wing structure-Plates/skins (on wing)-Fatigue/wear/corrosion - C,67.3349,0,1,0.5,Aircraft-Aircraft structures-Wing structure-Plates/skins (on wing)-Fatigue/wear/corrosion - C,67.3349,0,1,0.5
20140624X40942,Personnel issues-Task performance-(general)-(general)-Cabin crew - C,53.8351,0,1,0.2,Personnel issues-Task performance-(general)-(general)-Cabin crew - C,53.8351,0,1,0.2
20140714X45633,Personnel issues-Task performance-Maintenance-Modification/alteration-Maintenance personnel - C | Personnel issues-Task performance-Maintenance-Repair-Maintenance personnel - C | Aircraft-Aircraft systems-Electrical power system-Electrical pwr sys wiring-Incorrect service/maintenance - C | Aircraft-Aircraft systems-Electrical power system-Alternator-generator drive sys-Failure - C,54.4482,0,0,0.0,Personnel issues-Task performance-Maintenance-Modification/alteration-Maintenance personnel - C | Personnel issues-Task performance-Maintenance-Repair-Maintenance personnel - C | Aircraft-Aircraft systems-Electrical power system-Electrical pwr sys wiring-Incorrect service/maintenance - C | Aircraft-Aircraft systems-Electrical power system-Alternator-generator drive sys-Failure - C,54.4482,0,1,0.2
20140828X43935,Aircraft-Aircraft systems-Equipment/furnishings-Flight compartment equipment-Capability exceeded - C,40.0438,0,0,0.0,Aircraft-Aircraft systems-Equipment/furnishings-Flight compartment equipment-Capability exceeded - C,40.0438,0,0,0.0
20140829X32709,Aircraft-Aircraft systems-Equipment/furnishings-Passenger compartment equip-Capability exceeded - C,38.8851,0,0,0.0,Aircraft-Aircraft systems-Equipment/furnishings-Passenger compartment equip-Capability exceeded - C,38.8851,0,0,0.0
20140918X21722,Personnel issues-Action/decision-Action-Incorrect action performance-Copilot - C,51.4288,0,1,0.25,Personnel issues-Action/decision-Action-Incorrect action performance-Copilot - C,51.4288,0,1,0.25
20150523X13659,Personnel issues-Task performance-Use of equip/info-Use of equip/system-Cabin crew - C,57.7246,0,0,0.25,Personnel issues-Task performance-Use of equip/info-Use of equip/system-Cabin crew - C,57.7246,0,1,0.25
20150605X52542,Aircraft-Aircraft systems-Ice/rain protection system-Windows/windshields & doors-Failure - C,39.9695,0,0,0.0,Aircraft-Aircraft systems-Ice/rain protection system-Windows/windshields & doors-Failure - C,39.9757,0,0,0.0
20151124X65446,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,93.3062,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Effect on personnel - C,93.3126,1,1,1.0
20160222X93713,Aircraft-Aircraft structures-Fuselage-Bulkheads (main fuselage)-Fatigue/wear/corrosion - C,38.3543,0,0,0.0,Aircraft-Aircraft structures-Fuselage-Bulkheads (main fuselage)-Fatigue/wear/corrosion - C,38.3543,0,0,0.0
20160707X02944,Aircraft-Aircraft power plant-Engine fuel and control-Fuel indicating system-Incorrect service/maintenance - C,36.5635,0,0,0.0,Aircraft-Aircraft power plant-Engine fuel and control-Fuel indicating system-Incorrect service/maintenance - C,36.5535,0,0,0.0
20160805X44633,Aircraft-Aircraft handling/service-Towing and taxiing-Towing-Incorrect use/operation - C,39.1911,0,0,0.0,Aircraft-Aircraft handling/service-Towing and taxiing-Towing-Incorrect use/operation - C,39.1911,0,0,0.0
20160811X81653,Personnel issues-Action/decision-Action-Incorrect action performance-Other/unknown - C,47.2904,0,1,0.25,Personnel issues-Action/decision-Action-Incorrect action performance-Other/unknown - C,47.2904,0,1,0.25
20161028X93712,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Fatigue/wear/corrosion - C,34.6051,0,0,0.0,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Fatigue/wear/corrosion - C,34.6051,0,0,0.0
20161216X60544,Environmental issues-Conditions/weather/phenomena-Turbulence-Terrain induced turbulence-Effect on personnel - C,93.5108,1,1,1.0,Environmental issues-Conditions/weather/phenomena-Turbulence-Terrain induced turbulence-Effect on personnel - C,93.4407,1,1,1.0
20170308X73155,Aircraft-Aircraft systems-Flight control system-Elevator control system-Damaged/degraded - C,37.2315,0,0,0.0,Aircraft-Aircraft systems-Flight control system-Elevator control system-Damaged/degraded - C,36.2343,0,0,0.0
20171002X95003,Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C | Personnel issues-Action/decision-Action-Incorrect action performance-Pilot of other aircraft - C,52.6142,0,1,0.25,Personnel issues-Action/decision-Action-Incorrect action performance-Pilot - C | Personnel issues-Action/decision-Action-Incorrect action performance-Pilot of other aircraft - C,52.6142,0,1,0.25
20171212X50255,Personnel issues-Action/decision-Action-Incorrect action performance-Flight crew - C | Personnel issues-Action/decision-Action-Incorrect action performance-Pilot of other aircraft - C,54.2398,0,1,0.25,Personnel issues-Action/decision-Action-Incorrect action performance-Flight crew - C | Personnel issues-Action/decision-Action-Incorrect action performance-Pilot of other aircraft - C,54.2398,0,1,0.25
